province,provinceCode,city
Vĩnh Phúc,Vĩnh Phúc,Tam Dao
Vĩnh Phúc,Vĩnh Phúc,Tam Đảo
Vĩnh Phúc,Vĩnh Phúc,Tam Đường
Vĩnh Phúc,Vĩnh Phúc,Vĩnh Tường
Vĩnh Phúc,Vĩnh Phúc,Vĩnh Yên
Vĩnh Phúc,Vĩnh Phúc,Yên Lạc
Yên Bái,Yên Bái,Lục Yên
Yên Bái,Yên Bái,Mù Căng Trai
Yên Bái,Yên Bái,Nghĩa Lộ
Yên Bái,Yên Bái,Trấn Yên
Yên Bái,Yên Bái,Trạm Tấu
Yên Bái,Yên Bái,Văn Chấn
Yên Bái,Yên Bái,Văn Yên
Yên Bái,Yên Bái,Yên Bái
Yên Bái,Yên Bái,Yên Bình
Điện Biên,Điện Biên,Mường Chà
Điện Biên,Điện Biên,Mường Lay
Điện Biên,Điện Biên,Mường Nhé
Điện Biên,Điện Biên,Tuần Giáo
Điện Biên,Điện Biên,Tủa Chùa
Điện Biên,Điện Biên,Điên Biên Phủ
Điện Biên,Điện Biên,Điện Biên
Điện Biên,Điện Biên,Điện Biên Đông
Đà Nẵng,Đà Nẵng,Cẩm Lệ
Đà Nẵng,Đà Nẵng,Hoà Vang
Đà Nẵng,Đà Nẵng,Hải Châu
Đà Nẵng,Đà Nẵng,Liên Chiểu
Đà Nẵng,Đà Nẵng,Ngũ Hành Sơn
Đà Nẵng,Đà Nẵng,Sơn Trà
Đà Nẵng,Đà Nẵng,Thanh Khê
Đắk Lắk,Đắk Lắk,Buon Ma Thuot
Đắk Lắk,Đắk Lắk,Buôn Đôn
Đắk Lắk,Đắk Lắk,Cư M'gar
Đắk Lắk,Đắk Lắk,Ea H'leo
Đắk Lắk,Đắk Lắk,Ea Kar
Đắk Lắk,Đắk Lắk,Ea Súp
Đắk Lắk,Đắk Lắk,Krông Ana
Đắk Lắk,Đắk Lắk,Krông Buk
Đắk Lắk,Đắk Lắk,Krông Bông
Đắk Lắk,Đắk Lắk,Krông Năng
Đắk Lắk,Đắk Lắk,Krông Pắk
Đắk Lắk,Đắk Lắk,Lăk
Đắk Lắk,Đắk Lắk,M'Đrăk
Đắk Nông,Đắk Nông,Cư Jút
Đắk Nông,Đắk Nông,Dak Song
Đắk Nông,Đắk Nông,Krông Nô
Đắk Nông,Đắk Nông,Tuy Đức
Đắk Nông,Đắk Nông,Đăk Glong
Đắk Nông,Đắk Nông,Đăk Mil
Đắk Nông,Đắk Nông,Đăk R'Lấp
Đồng Nai,Đồng Nai,Bien Hoa
Đồng Nai,Đồng Nai,Cẩm Mỹ
Đồng Nai,Đồng Nai,Long Khánh
Đồng Nai,Đồng Nai,Long Thành
Đồng Nai,Đồng Nai,Nhơn Trạch
Đồng Nai,Đồng Nai,Thống Nhất
Đồng Nai,Đồng Nai,Trảng Bom
Đồng Nai,Đồng Nai,Tân Phú
Đồng Nai,Đồng Nai,Vĩnh Cửu
Đồng Nai,Đồng Nai,Xuân Lộc
Đồng Nai,Đồng Nai,Định Quán
Đồng Tháp,Đồng Tháp,Cao Lãnh
Đồng Tháp,Đồng Tháp,Hồng Ngự
Đồng Tháp,Đồng Tháp,Lai Vung
Đồng Tháp,Đồng Tháp,Lấp Vò
Đồng Tháp,Đồng Tháp,Sa Đéc
Đồng Tháp,Đồng Tháp,Tam Nông
Đồng Tháp,Đồng Tháp,Thanh Bình
Đồng Tháp,Đồng Tháp,Tháp Mười
Đồng Tháp,Đồng Tháp,Tân Hồng
